2025-09-04 21:55:24,日用百货,福州朴朴电子商务有限公司,pay***@pupumall.com,朴朴商品订单,支出,71.00,账户余额,交易成功,2025090422001428141402613294	,0551756994124444PAY01	,,
2025-09-04 12:19:48,生活服务,武汉金韵园区运营管理有限公司,zha***@kingsoft.com,金山武汉食堂-砂锅东坡肉:消费（扫码）,支出,20.00,账户余额,交易成功,2025090422001428141402636309	,487461456413986816	,,
2025-09-04 10:43:22,餐饮美食,友宝,sma***@ubox.cn,智能货柜消费_福佳香肉松披萨面包85G_消费时间:2025-09-04 10:41:30,支出,5.59,账户余额,交易成功,2025090423001428141403211541	,visionpayF57BE6532C121414DEDABD99	,,
2025-09-04 09:29:30,交通出行,高德打车,aut***@autonavi.com,高德打车订单,支出,23.76,账户余额,交易成功,2025090422001428141402707795	,0003N202509040000000012213566587	,,
2025-09-04 05:03:40,投资理财,中欧基金管理有限公司,/,余额宝-2025.09.03-收益发放,不计收支,0.02,余额宝,交易成功,20250904346208776141	,	,,
2025-09-03 22:02:14,信用借还,运营商合约分期服务（宇中科技）,/,自动解冻-橙分期还款解冻,不计收支,13.76,,解冻成功,20250903920812801405	,202509031411531293551809	,,
2025-09-03 22:02:13,数码电器,运营商合约分期服务（宇中科技）,pay***@unizone.tech,橙分期还款解冻,支出,0.00,合约分期权益,交易成功,2025090322001428141458319437	,202509031411531293551809	,,
2025-09-03 18:18:14,生活服务,武汉金韵园区运营管理有限公司,zha***@kingsoft.com,金山武汉食堂-负一楼自助餐:消费（扫码）,支出,20.18,账户余额,交易成功,2025090322001428141459401837	,487189270801420288	,,
2025-09-03 09:14:45,餐饮美食,友宝,sma***@ubox.cn,智能货柜消费_宝矿力水特500ml等_消费时间:2025-09-03 09:14:10,支出,10.39,账户余额,交易成功,2025090322001428141458074752	,visionpayF57BD4F41E98141378E19981	,,
2025-09-03 09:13:07,交通出行,高德打车,aut***@autonavi.com,高德打车订单,支出,23.49,账户余额,交易成功,2025090322001428141454453159	,0003N202509030000000012259048834	,,
2025-09-03 03:39:40,投资理财,中欧基金管理有限公司,/,余额宝-2025.09.02-收益发放,不计收支,0.01,余额宝,交易成功,20250903339719818141	,	,,
2025-09-02 18:07:41,生活服务,武汉金韵园区运营管理有限公司,zha***@kingsoft.com,金山武汉食堂-负一楼自助餐:消费（扫码）,支出,22.22,账户余额,交易成功,2025090222001428141453660468	,486824231779176448	,,
2025-09-02 09:23:37,餐饮美食,友宝,sma***@ubox.cn,智能货柜消费_福佳香肉松披萨面包85G_消费时间:2025-09-02 09:21:57,支出,5.59,账户余额,交易成功,2025090222001428141454040810	,visionpayF57BB9CC68BA141229357439	,,
2025-09-02 04:53:44,投资理财,中欧基金管理有限公司,/,余额宝-2025.09.01-收益发放,不计收支,0.01,余额宝,交易成功,20250902333762239141	,	,,
2025-09-01 20:23:44,医疗健康,武汉家庭医生大药房连锁有限公司大公馆店,/,医保支付(不含自费),支出,0.00,,支付成功,20250901281451182367	,420100G9101771202222	,,
2025-09-01 19:28:35,日用百货,福州朴朴电子商务有限公司,pay***@pupumall.com,朴朴商品订单,支出,64.42,账户余额,交易成功,2025090122001428141449407849	,0551756726115081PAY01	,,
2025-09-01 18:13:14,生活服务,武汉金韵园区运营管理有限公司,zha***@kingsoft.com,金山武汉食堂-小碗菜餐线总:消费（扫码）,支出,17.00,账户余额,交易成功,2025090122001428141450232017	,486463241174650880	,,
2025-09-01 09:13:39,生活服务,武汉金韵园区运营管理有限公司,zha***@kingsoft.com,金山武汉食堂-小碗菜餐线总:消费（扫码）,支出,6.50,账户余额,交易成功,2025090122001428141448722794	,486327447122350080	,,
2025-09-01 04:02:26,投资理财,中欧基金管理有限公司,/,余额宝-2025.08.31-收益发放,不计收支,0.01,余额宝,交易成功,20250901327630117141	,	,,
2025-08-31 02:45:20,投资理财,中欧基金管理有限公司,/,余额宝-2025.08.30-收益发放,不计收支,0.01,余额宝,交易成功,20250831316421648141	,	,,
2025-08-30 14:01:35,交通出行,高德打车,aut***@autonavi.com,高德打车订单,支出,24.94,账户余额,交易成功,2025083022001428141439722382	,0003N202508300000000012172797959	,,
2025-08-30 13:03:18,餐饮美食,柒食万象城店,/,柒食万象城店-扫码付-YY00301-250830-00271231(001),支出,71.00,账户余额,交易成功,2025083022001428141436143204	,39126600004822000020250830110113230166241579750979	,,
2025-08-30 09:06:53,日用百货,中意多D,/,中意多(广播电视台1号店),支出,12.00,账户余额,交易成功,2025083022001428141439944840	,311266000048250000705794101487250830	,,
2025-08-30 04:21:35,投资理财,中欧基金管理有限公司,/,余额宝-2025.08.29-收益发放,不计收支,0.01,余额宝,交易成功,20250830315367788141	,	,,
2025-08-29 17:47:15,餐饮美食,南明区幽屿奶茶店,/,蜜雪冰城944322店,支出,7.90,账户余额,交易成功,2025082922001428141436086900	,821266000048180000168618628322125082917471550187	,,
2025-08-29 04:49:32,投资理财,中欧基金管理有限公司,/,余额宝-2025.08.28-收益发放,不计收支,0.01,余额宝,交易成功,20250829310217034141	,	,,
2025-08-28 21:27:22,交通出行,高德打车,aut***@autonavi.com,高德打车订单,支出,12.38,账户余额,交易成功,2025082822001428141430665253	,0003N202508280000000012192216982	,,
2025-08-28 14:50:07,其他,贵阳市信捷科技有限公司,gy_***@163.com,充值,支出,10.00,账户余额(个人余额),交易成功,2025082822001428141432270305	,20250828145007021174439700010013	,,
2025-08-28 05:08:25,投资理财,中欧基金管理有限公司,/,余额宝-2025.08.27-收益发放,不计收支,0.02,余额宝,交易成功,20250828304098903141	,	,,
2025-08-27 20:19:38,商业服务,小孃捞汁串串,166******97,收钱码收款,支出,14.00,账户余额,交易成功,2025082722001428141427987668	,17562971779702490528140	,,
2025-08-27 20:10:30,餐饮美食,南明区幽屿奶茶店,/,蜜雪冰城944322店,支出,7.90,账户余额,交易成功,2025082723001428141426284241	,811266000048180000168618626522125082720102911366	,,
2025-08-27 19:37:05,商业服务,青雲市集,/,二维码支付,支出,22.00,账户余额,交易成功,2025082722001428141425860680	,31P2088721085226061W03_10500017392692525082794784357H	,,
2025-08-27 19:23:53,日用百货,青云都汇店,han***@dingtalk.com,10931青云都汇店,支出,6.00,账户余额,交易成功,2025082722001428141427003177	,109312508271923537756	,,
2025-08-27 07:58:06,日用百货,武汉武铁旅服传媒有限责任公司,/,WHZ.3F.S.005武汉站荆楚便利A候车区1号店-WHZ03113402508270758056,支出,18.00,账户余额,交易成功,2025082722001428141426999373	,782017092208872157320204043331000012508270237520	,,
2025-08-27 07:50:29,交通出行,高德打车,aut***@autonavi.com,高德打车订单,支出,40.93,账户余额,交易成功,2025082722001428141423073692	,0003N202508270000000012127061138	,,
2025-08-27 04:46:44,投资理财,中欧基金管理有限公司,/,余额宝-2025.08.26-收益发放,不计收支,0.01,余额宝,交易成功,20250827398243484141	,	,,
2025-08-26 10:27:01,交通出行,高德打车,aut***@autonavi.com,高德打车订单,支出,13.20,账户余额,交易成功,2025082622001428141421397663	,0003N202508260000000012110031974	,,
2025-08-26 09:43:52,充值缴费,中国移动,z97***@service.aliyun.com,为15889575259话费充值,支出,100.00,账户余额,交易成功,2025082622001428141421162614	,2025082600003100001456481345	,,
2025-08-26 07:49:21,交通出行,高德打车,aut***@autonavi.com,高德打车订单,支出,23.05,账户余额,交易成功,2025082622001428141417935953	,0003N202508260000000012129650485	,,
2025-08-26 06:14:21,投资理财,中欧基金管理有限公司,/,余额宝-2025.08.25-收益发放,不计收支,0.01,余额宝,交易成功,20250826391819900141	,	,,
2025-08-25 09:04:02,生活服务,武汉金韵园区运营管理有限公司,zha***@kingsoft.com,金山武汉食堂-小碗菜餐线总:消费（扫码）,支出,7.50,账户余额,交易成功,2025082522001428141414495759	,483788312113319936	,,
2025-08-25 05:13:34,投资理财,中欧基金管理有限公司,/,余额宝-2025.08.24-收益发放,不计收支,0.01,余额宝,交易成功,20250825386185677141	,	,,
2025-08-24 14:41:56,充值缴费,武汉供电公司,/,电费自动缴费-中建大公馆-根据每期出账后自动缴费,支出,50.00,账户余额,交易成功,2025082400003001140057035002	,4219922121429	,,
2025-08-24 04:11:26,投资理财,中欧基金管理有限公司,/,余额宝-2025.08.23-收益发放,不计收支,0.01,余额宝,交易成功,20250824379880129141	,	,,
2025-08-23 03:49:41,投资理财,中欧基金管理有限公司,/,余额宝-2025.08.22-收益发放,不计收支,0.01,余额宝,交易成功,20250823369279831141	,	,,
2025-08-22 21:05:19,退款,福州朴朴电子商务有限公司,pay***@pupumall.com,退款-朴朴商品订单,不计收支,0.69,账户余额,退款成功,2025082222001428141459396808_2025082221040666905517526	,0551755865873117PAY01	,,
2025-08-22 20:31:14,日用百货,福州朴朴电子商务有限公司,pay***@pupumall.com,朴朴商品订单,支出,159.64,账户余额,交易成功,2025082222001428141459396808	,0551755865873117PAY01	,,
2025-08-22 09:07:49,餐饮美食,友宝,sma***@ubox.cn,智能货柜消费_沫小言面包咸奶酪肉松味85g等_消费时间:2025-08-22 09:06:26,支出,8.79,账户余额,交易成功,2025082222001428141459993101	,visionpayF57BE6543C561403A5121D9B	,,
2025-08-22 09:06:07,交通出行,高德打车,aut***@autonavi.com,高德打车订单,支出,23.10,账户余额,交易成功,2025082222001428141458468957	,0003N202508220000000012047726936	,,
2025-08-22 04:28:35,投资理财,中欧基金管理有限公司,/,余额宝-2025.08.21-收益发放,不计收支,0.01,余额宝,交易成功,20250822368755408141	,	,,
2025-08-21 09:29:43,餐饮美食,友宝,sma***@ubox.cn,智能货柜消费_沫小言面包咸奶酪肉松味85g_消费时间:2025-08-21 09:28:50,支出,3.59,账户余额,交易成功,2025082122001428141454785614	,visionpayF57BE632227B140258D19133	,,
2025-08-21 09:27:38,交通出行,高德打车,aut***@autonavi.com,高德打车订单,支出,20.25,账户余额,交易成功,2025082122001428141454298614	,0003N202508210000000012050333361	,,
2025-08-21 04:49:47,投资理财,中欧基金管理有限公司,/,余额宝-2025.08.20-收益发放,不计收支,0.02,余额宝,交易成功,20250821362318568141	,	,,
2025-08-20 18:28:58,生活服务,武汉金韵园区运营管理有限公司,zha***@kingsoft.com,金山武汉食堂-小碗菜餐线总:消费（扫码）,支出,15.00,账户余额,交易成功,2025082022001428141453300094	,482118544662728704	,,
2025-08-20 09:16:08,餐饮美食,友宝,sma***@ubox.cn,智能货柜消费_沫小言面包咸奶酪肉松味85g_消费时间:2025-08-20 09:13:24,支出,3.59,账户余额,交易成功,2025082022001428141450134575	,visionpayF57BE6532A10140103B3746F	,,
2025-08-20 04:47:26,投资理财,中欧基金管理有限公司,/,余额宝-2025.08.19-收益发放,不计收支,0.02,余额宝,交易成功,20250820356110933141	,	,,
2025-08-19 18:30:52,生活服务,武汉金韵园区运营管理有限公司,zha***@kingsoft.com,金山武汉食堂-兰州拉面:消费（扫码）,支出,6.00,账户余额,交易成功,2025081922001428141445189718	,481756632179544064	,,
2025-08-19 09:18:59,餐饮美食,友宝,sma***@ubox.cn,智能货柜消费_沫小言面包咸奶酪肉松味85g_消费时间:2025-08-19 09:17:37,支出,3.59,账户余额,交易成功,2025081922001428141443433307	,visionpayF57BE6535E3013FFB3305250	,,
2025-08-19 06:17:11,投资理财,中欧基金管理有限公司,/,余额宝-2025.08.18-收益发放,不计收支,0.02,余额宝,交易成功,20250819350459661141	,	,,
2025-08-18 18:53:35,日用百货,福州朴朴电子商务有限公司,pay***@pupumall.com,朴朴商品订单,支出,71.51,账户余额,交易成功,2025081822001428141441191660	,0551755514415308PAY01	,,
2025-08-18 09:33:23,餐饮美食,友宝,sma***@ubox.cn,智能货柜消费_沫小言面包咸奶酪肉松味85g_消费时间:2025-08-18 09:32:37,支出,3.59,账户余额,交易成功,2025081822001428141441852007	,visionpayF57BE6561DA013FE65346884	,,
2025-08-18 09:31:38,交通出行,高德打车,aut***@autonavi.com,高德打车订单,支出,23.78,账户余额,交易成功,2025081823001428141440452852	,0003N202508180000000012010196356	,,
2025-08-18 04:51:44,投资理财,中欧基金管理有限公司,/,余额宝-2025.08.17-收益发放,不计收支,0.01,余额宝,交易成功,20250818344127811141	,	,,
2025-08-17 14:44:23,充值缴费,武汉供电公司,/,电费自动缴费-中建大公馆-根据每期出账后自动缴费,支出,50.00,账户余额,交易成功,2025081700003001140056325908	,4219922121429	,,
2025-08-17 03:59:31,投资理财,中欧基金管理有限公司,/,余额宝-2025.08.16-收益发放,不计收支,0.01,余额宝,交易成功,20250817339146149141	,	,,
2025-08-16 03:32:19,投资理财,中欧基金管理有限公司,/,余额宝-2025.08.15-收益发放,不计收支,0.02,余额宝,交易成功,20250816329548853141	,	,,
2025-08-15 19:38:52,退款,福州朴朴电子商务有限公司,pay***@pupumall.com,退款-朴朴商品订单,不计收支,0.46,账户余额,退款成功,2025081522001428141424906696_2025081519374037305510531	,0551755255868289PAY01	,,
2025-08-15 19:04:28,日用百货,福州朴朴电子商务有限公司,pay***@pupumall.com,朴朴商品订单,支出,93.44,账户余额,交易成功,2025081522001428141424906696	,0551755255868289PAY01	,,
2025-08-15 09:22:27,餐饮美食,友宝,sma***@ubox.cn,智能货柜消费_沫小言面包咸奶酪肉松味85g_消费时间:2025-08-15 09:21:46,支出,3.41,账户余额&到店扫码红包,交易成功,2025081522001428141425730193	,visionpayF57B487C2B7813FA6E2A2E18	,,
2025-08-15 09:20:58,交通出行,高德打车,aut***@autonavi.com,高德打车订单,支出,22.97,账户余额,交易成功,2025081522001428141426637472	,0003N202508150000000011956198255	,,
2025-08-15 04:31:28,投资理财,中欧基金管理有限公司,/,余额宝-2025.08.14-收益发放,不计收支,0.02,余额宝,交易成功,20250815328695881141	,	,,
2025-08-14 09:19:36,日用百货,抖音电商商家,shg***@bytedance.com,抖音电商-多笔订单6920728184345295918等,支出,67.80,账户余额(个人余额),交易成功,2025081423001428141422507510	,2001052508140200467229406916	,,
2025-08-14 09:14:28,生活服务,武汉金韵园区运营管理有限公司,zha***@kingsoft.com,金山武汉食堂-小碗菜餐线总:消费（扫码）,支出,7.32,账户余额&到店扫码红包,交易成功,2025081422001428141420172140	,479804672765333504	,,
2025-08-14 04:43:47,投资理财,中欧基金管理有限公司,/,余额宝-2025.08.13-收益发放,不计收支,0.02,余额宝,交易成功,20250814323344152141	,	,,
2025-08-13 09:28:04,餐饮美食,友宝,sma***@ubox.cn,智能货柜消费_沫小言面包咸奶酪肉松味85g_消费时间:2025-08-13 09:27:27,支出,3.59,账户余额,交易成功,2025081322001428141413569119	,visionpayF57BE653743713F7CC7FDB2D	,,
2025-08-13 09:24:43,交通出行,高德打车,aut***@autonavi.com,高德打车订单,支出,22.68,账户余额,交易成功,2025081322001428141414120333	,0003N202508130000000011961035521	,,
2025-08-13 04:41:12,投资理财,中欧基金管理有限公司,/,余额宝-2025.08.12-收益发放,不计收支,0.02,余额宝,交易成功,20250813317999085141	,	,,
2025-08-12 09:21:13,餐饮美食,友宝,sma***@ubox.cn,智能货柜消费_沫小言面包咸奶酪肉松味85g_消费时间:2025-08-12 09:20:03,支出,3.59,账户余额,交易成功,2025081222001428141409626043	,visionpayF57BE6324E3D13F679432163	,,
2025-08-12 06:10:12,投资理财,中欧基金管理有限公司,/,余额宝-2025.08.11-收益发放,不计收支,0.03,余额宝,交易成功,20250812313246524141	,	,,
2025-08-11 09:21:49,餐饮美食,友宝,sma***@ubox.cn,智能货柜消费_沫小言面包咸奶酪肉松味85g_消费时间:2025-08-11 09:20:37,支出,3.59,账户余额,交易成功,2025081123001428141403965750	,visionpayF57B487D623513F527E5E34E	,,
2025-08-11 04:27:21,投资理财,中欧基金管理有限公司,/,余额宝-2025.08.10-收益发放,不计收支,0.02,余额宝,交易成功,20250811307297839141	,	,,
2025-08-10 22:14:31,充值缴费,中国电信,dzq***@chinatelecom-ec.com.cn,为18186114583话费充值,支出,200.00,账户余额,交易成功,2025081022001428141405314720	,2025081000003100001455509701	,,
2025-08-10 14:49:11,充值缴费,武汉供电公司,/,电费自动缴费-中建大公馆-根据每期出账后自动缴费,支出,50.00,账户余额,交易成功,2025081000003001140055563502	,4219922121429	,,
2025-08-10 03:37:40,投资理财,中欧基金管理有限公司,/,余额宝-2025.08.09-收益发放,不计收支,0.02,余额宝,交易成功,20250810301459964141	,	,,
2025-08-09 11:13:43,退款,福州朴朴电子商务有限公司,pay***@pupumall.com,退款-朴朴商品订单,不计收支,0.07,账户余额,退款成功,2025080922001428141458629366_2025080911123138705511407	,0551754707479234PAY01	,,
2025-08-09 10:44:40,日用百货,福州朴朴电子商务有限公司,pay***@pupumall.com,朴朴商品订单,支出,77.36,账户余额,交易成功,2025080922001428141458629366	,0551754707479234PAY01	,,
2025-08-09 04:02:29,投资理财,中欧基金管理有限公司,/,余额宝-2025.08.08-收益发放,不计收支,0.02,余额宝,交易成功,20250809396520414141	,	,,
2025-08-08 18:15:50,生活服务,武汉金韵园区运营管理有限公司,zha***@kingsoft.com,金山武汉食堂-鲜面档:消费（扫码）,支出,11.00,账户余额,交易成功,2025080822001428141454608675	,477766586355159040	,,
2025-08-08 12:19:52,日用百货,好客士便利店金山园区店,/,好客士光谷四路店,支出,6.00,账户余额,交易成功,2025080823001428141450915453	,07126600004836000083620250808720958831	,,
2025-08-08 09:24:01,餐饮美食,友宝,sma***@ubox.cn,智能货柜消费_沫小言面包咸奶酪肉松味85g_消费时间:2025-08-08 09:23:00,支出,3.59,账户余额,交易成功,2025080822001428141450742537	,visionpayF57BE6562CC913F133F3D3C1	,,
2025-08-08 09:21:35,交通出行,高德打车,aut***@autonavi.com,高德打车订单,支出,20.81,账户余额,交易成功,2025080822001428141450763841	,0003N202508080000000011870311079	,,
2025-08-08 04:42:13,投资理财,中欧基金管理有限公司,/,余额宝-2025.08.07-收益发放,不计收支,0.02,余额宝,交易成功,20250808390898897141	,	,,
2025-08-07 09:18:58,餐饮美食,友宝,sma***@ubox.cn,智能货柜消费_沫小言面包咸奶酪肉松味85g_消费时间:2025-08-07 09:18:28,支出,3.59,账户余额,交易成功,2025080722001428141446337656	,visionpayF57BB9CC6F9813EFE164B9AD	,,
2025-08-07 04:52:25,投资理财,中欧基金管理有限公司,/,余额宝-2025.08.06-收益发放,不计收支,0.02,余额宝,交易成功,20250807385607433141	,	,,
2025-08-06 11:00:27,餐饮美食,友宝,sma***@ubox.cn,智能货柜消费_维他柠檬茶250ml等_消费时间:2025-08-06 10:59:16,支出,7.76,账户余额,交易成功,2025080622001428141443241509	,visionpayF57BE65354EB13EEA783DA11	,,
2025-08-06 09:17:10,餐饮美食,友宝,sma***@ubox.cn,智能货柜消费_沫小言面包咸奶酪肉松味85g_消费时间:2025-08-06 09:16:07,支出,3.59,账户余额,交易成功,2025080623001428141440735572	,visionpayF57BD4F52F2413EE8F56FAD7	,,
2025-08-06 04:42:27,投资理财,中欧基金管理有限公司,/,余额宝-2025.08.05-收益发放,不计收支,0.02,余额宝,交易成功,20250806379719108141	,	,,
2025-08-05 19:34:53,退款,福州朴朴电子商务有限公司,pay***@pupumall.com,退款-朴朴商品订单,不计收支,1.49,账户余额,退款成功,2025080523001428141440666269_2025080519334143705519582	,0551754391192073PAY01	,,
2025-08-05 18:53:12,日用百货,福州朴朴电子商务有限公司,pay***@pupumall.com,朴朴商品订单,支出,45.32,账户余额,交易成功,2025080523001428141440666269	,0551754391192073PAY01	,,
2025-08-05 09:20:32,餐饮美食,友宝,sma***@ubox.cn,智能货柜消费_沫小言面包咸奶酪肉松味85g_消费时间:2025-08-05 09:19:35,支出,3.59,账户余额,交易成功,2025080522001428141437775290	,visionpayF57BE655103613ED3EA7DCA5	,,
2025-08-05 06:08:45,投资理财,中欧基金管理有限公司,/,余额宝-2025.08.04-收益发放,不计收支,0.03,余额宝,交易成功,20250805374890015141	,	,,
2025-08-04 15:16:37,充值缴费,武汉供电公司,/,电费自动缴费-中建大公馆-根据每期出账后自动缴费,支出,50.00,账户余额,交易成功,2025080400003001140054647217	,4219922121429	,,
2025-08-04 09:13:07,餐饮美食,友宝,sma***@ubox.cn,智能货柜消费_佐滋轻乳芝士蛋糕80g_消费时间:2025-08-04 09:11:49,支出,5.59,账户余额,交易成功,2025080422001428141432889871	,visionpayF57B487D2AE113EBEB54F609	,,
2025-08-04 06:12:39,投资理财,中欧基金管理有限公司,/,余额宝-2025.08.03-收益发放,不计收支,0.02,余额宝,交易成功,20250804369975727141	,	,,
2025-08-03 22:07:23,信用借还,运营商合约分期服务（宇中科技）,/,自动解冻-橙分期还款解冻,不计收支,13.76,,解冻成功,20250803707173211405	,202508031345331292282372	,,
2025-08-03 22:07:22,数码电器,运营商合约分期服务（宇中科技）,pay***@unizone.tech,橙分期还款解冻,支出,0.00,合约分期权益,交易成功,2025080322001428141432475200	,202508031345331292282372	,,
2025-08-03 03:14:15,投资理财,中欧基金管理有限公司,/,余额宝-2025.08.02-收益发放,不计收支,0.02,余额宝,交易成功,20250803363033641141	,	,,
2025-08-02 09:19:26,退款,福州朴朴电子商务有限公司,pay***@pupumall.com,退款-朴朴商品订单,不计收支,1.19,账户余额,退款成功,2025080222001428141422583034_2025080209172449005514807	,0551754095386119PAY01	,,
2025-08-02 08:43:06,日用百货,福州朴朴电子商务有限公司,pay***@pupumall.com,朴朴商品订单,支出,76.84,账户余额,交易成功,2025080222001428141422583034	,0551754095386119PAY01	,,
2025-08-02 03:33:34,投资理财,中欧基金管理有限公司,/,余额宝-2025.08.01-收益发放,不计收支,0.02,余额宝,交易成功,20250802357825096141	,	,,
2025-08-02 01:56:48,日用百货,抖音电商商家,shg***@bytedance.com,抖音电商-订单编号6920582336782629934,支出,29.53,账户余额(个人余额),交易成功,2025080222001428141422726216	,2001052508020200440386986916	,,
2025-08-02 01:54:08,日用百货,抖音电商商家,shg***@bytedance.com,抖音电商-订单编号6920582240676445230,支出,336.00,账户余额(个人余额),交易成功,2025080222001428141422686358	,2001052508020200440047226916	,,
2025-08-01 16:03:51,数码电器,子网**技,137***@163.com,畅网P5 P6 N100/N150/N305/N355魔方NAS双网2.5G四个M.2NVME铝合,支出,2029.31,账户余额(个人余额),交易成功,2025080122001128141418055629	,T200P4662181440948136518	,,
2025-08-01 09:25:41,餐饮美食,友宝,sma***@ubox.cn,智能货柜消费_沫小言面包咸奶酪肉松味85g_消费时间:2025-08-01 09:25:03,支出,3.59,账户余额,交易成功,2025080122001428141416196894	,visionpayF57B487D2AE113E7F9EFB332	,,
2025-08-01 09:23:03,交通出行,高德打车,aut***@autonavi.com,高德打车订单,支出,23.61,账户余额,交易成功,2025080122001428141417526796	,0003N202508010000000011787428442	,,
2025-08-01 04:49:20,投资理财,中欧基金管理有限公司,/,余额宝-2025.07.31-收益发放,不计收支,0.02,余额宝,交易成功,20250801352910257141	,	,,
